Listing Name,Price,Room,Reviews
"Great location, Great value, Enjoy",143,Entire home/apt,111 reviews
"Near the Bay and Old City,WIFI.",43,Private room,40 reviews
Private bedroom in Cartagena,52,Private room,No reviews
"Quality, Price, View, On the Beach",85,Entire home/apt,27 reviews
Casa del Mango EcoLodge Hotel,68,Private room,No reviews
Great 2 bedroom apart walled City,210,Entire home/apt,16 reviews
Bedroom with AC in historic center.,59,Private room,37 reviews
Wake up to Cartagena's Best View,189,Entire home/apt,1 review
LA MEJOR VISTA DE CARTAGENA,164,Entire home/apt,9 reviews
Ocean front 2 bed flat in Cartagena,183,Entire home/apt,57 reviews
SUN AND BEACHFRONT CARTAGENA COLOMB,92,Entire home/apt,32 reviews
Casa de la Chicheria Cartagena#3,59,Private room,No reviews
Comfortable Cartagena,39,Private room,8 reviews
"Double room, private bathroom, A/C",33,Private room,No reviews
Loft en Corazón de Ciudad Antigua,118,Entire home/apt,No reviews
Lovely Colonial House-Pink Room,85,Private room,2 reviews
Old City 5 Bedroom Mansion,852,Entire home/apt,No reviews
Casa de la Chicheria Cartagena #2,59,Private room,No reviews
